time_in_bed,time_asleep,wakeup_number,hrv,sleep_score
387,387,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
465,404,5,75,98
556,404,5,71,99
185,404,4,76,95
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
404,404,0,0,60
527,527,0,0,60
471,471,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
457,457,0,0,60
331,331,0,0,60
547,472,10,55,100
547,472,10,55,100
112,472,9,55,95
524,430,18,55,77
524,430,18,55,77
81,430,17,55,72
470,470,0,0,60
416,416,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
426,426,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
455,407,11,56,86
455,407,11,56,86
10,407,10,56,81
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
482,482,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
486,486,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
466,466,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
409,409,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
478,380,10,78,84
482,380,10,78,84
161,380,9,79,81
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
436,436,0,0,60
439,439,0,0,60
439,439,0,0,60
439,439,0,0,60
439,439,0,0,60
439,439,0,0,60
446,816,20,0,80
461,816,20,0,80
10,384,13,56,71
467,467,0,0,60
467,467,0,0,60
467,467,0,0,60
467,467,0,0,60
467,467,0,0,60
467,467,0,0,60
467,467,0,0,60
467,467,0,0,60
467,467,0,0,60
467,467,0,0,60
439,439,0,0,60
439,439,0,0,60
439,439,0,0,60
439,439,0,0,60
439,439,0,0,60
439,439,0,0,60
439,439,0,0,60
439,439,0,0,60
439,439,0,0,60
439,439,0,0,60
439,439,0,0,60
439,439,0,0,60
439,439,0,0,60
439,439,0,0,60
439,439,0,0,60
439,439,0,0,60
439,439,0,0,60
439,439,0,0,60
439,439,0,0,60
467,467,0,0,60
467,467,0,0,60
467,467,0,0,60
467,467,0,0,60
467,467,0,0,60
392,392,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
427,427,0,0,60
28,28,0,0,60
28,28,0,0,60
28,28,0,0,60
28,28,0,0,60
28,28,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
104,104,0,85,60
104,104,0,68,60
49,432,5,57,95
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
445,445,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
462,462,0,0,60
42,42,0,0,60
42,42,0,0,60
42,42,0,0,60
481,481,0,0,60
42,42,0,0,60
42,42,0,0,60
42,42,0,0,60
42,42,0,0,60
42,42,0,0,60
42,42,0,0,60
42,42,0,0,60
42,42,0,0,60
42,42,0,0,60
42,42,0,0,60
42,42,0,0,60
42,42,0,0,60
42,42,0,0,60
42,42,0,0,60
42,42,0,0,60
537,537,0,0,60
537,537,0,0,60
537,537,0,0,60
537,537,0,0,60
537,537,0,0,60
417,417,0,0,60
42,42,0,0,60
42,42,0,0,60
42,42,0,0,60
42,42,0,0,60
42,42,0,0,60
42,42,0,0,60
42,42,0,0,60
42,42,0,0,60
42,42,0,0,60
42,42,0,0,60
422,394,5,57,95
422,394,5,57,95
279,394,4,57,95
537,537,0,0,60
537,537,0,0,60
537,537,0,0,60
537,537,0,0,60
537,537,0,0,60
537,537,0,0,60
537,537,0,0,60
537,537,0,0,60
537,537,0,0,60
537,537,0,0,60
42,42,0,0,60
480,430,10,61,92
480,430,10,61,92
144,430,9,61,89
225,225,0,0,60
378,378,0,0,60
51,51,0,0,60
51,51,0,0,60
51,51,0,0,60
51,51,0,0,60
51,51,0,0,60
408,408,0,0,60
424,351,15,70,68
424,351,15,70,68
8,350,13,56,65
454,454,0,96,60
526,526,0,0,60
526,526,0,0,60
448,448,0,0,60
526,526,0,0,60
473,473,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
431,431,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
420,341,10,54,76
420,341,10,54,76
1,342,10,54,70
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
526,526,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
460,574,18,0,84
460,574,18,0,84
59,384,13,59,71
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
455,455,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
416,416,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
437,437,0,0,60
460,384,14,55,72
382,382,0,0,60
382,382,0,0,60
382,382,0,0,60
382,382,0,0,60
382,382,0,0,60
408,408,0,0,60
382,382,0,0,60
382,382,0,0,60
382,382,0,0,60
382,382,0,0,60
382,382,0,0,60
342,342,11,52,73
379,379,0,0,60
379,379,0,0,60
379,379,0,0,60
379,379,0,0,60
379,379,0,0,60
222,152,7,60,60
222,152,7,89,60
173,342,10,75,72
382,382,0,0,60
382,382,0,0,60
382,382,0,0,60
382,382,0,0,60
382,382,0,0,60
382,382,0,0,60
382,382,0,0,60
382,382,0,0,60
382,382,0,0,60
382,382,0,0,60
379,379,0,0,60
379,379,0,0,60
379,379,0,0,60
379,379,0,0,60
480,480,0,0,60
379,379,0,0,60
379,379,0,0,60
379,379,0,0,60
379,379,0,0,60
379,379,0,0,60
379,379,0,0,60
379,379,0,0,60
379,379,0,0,60
379,379,0,0,60
379,379,0,0,60
379,379,0,0,60
379,379,0,0,60
379,379,0,0,60
379,379,0,0,60
379,379,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
382,382,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
430,430,0,0,60
496,418,10,53,76
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
496,418,10,67,90
496,418,10,67,90
161,418,9,67,87
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
466,466,0,0,60
550,478,11,60,99
550,478,11,60,99
87,478,10,60,94
480,480,0,0,60
403,403,0,0,60
550,478,11,53,82
348,348,0,0,60
225,225,0,80,60
238,238,0,79,60
238,238,0,79,60
482,482,0,0,60
424,424,0,0,60
35,35,0,0,60
35,35,0,0,60
35,35,0,0,60
35,35,0,0,60
35,35,0,0,60
424,424,0,0,60
20,20,0,0,60
20,20,0,0,60
20,20,0,0,60
470,470,0,0,60
20,20,0,0,60
20,20,0,0,60
20,20,0,0,60
20,20,0,0,60
20,20,0,0,60
20,20,0,0,60
20,20,0,0,60
20,20,0,0,60
20,20,0,0,60
20,20,0,0,60
20,20,0,0,60
20,20,0,0,60
20,20,0,0,60
20,20,0,0,60
20,20,0,0,60
20,20,0,0,60
20,20,0,0,60
20,20,0,0,60
20,20,0,0,60
20,20,0,0,60
472,472,0,109,60
480,480,0,108,60
480,480,0,108,60
35,35,0,0,60
35,35,0,0,60
35,35,0,0,60
35,35,0,0,60
35,35,0,0,60
35,35,0,0,60
35,35,0,0,60
35,35,0,0,60
35,35,0,0,60
35,35,0,0,60
20,20,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
68,68,0,68,60
68,68,0,68,60
68,68,0,68,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
420,420,0,0,60
35,35,0,0,60
35,35,0,0,60
35,35,0,0,60
35,35,0,0,60
35,35,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
439,439,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
426,426,0,0,60
443,443,0,0,60
443,443,0,0,60
443,443,0,0,60
443,443,0,0,60
443,443,0,0,60
443,443,0,0,60
443,443,0,0,60
443,443,0,0,60
443,443,0,0,60
